time	current
77640.0	1.8489983164
77700.0	1.4625192351
77760.0	1.8533297223
77820.0	1.6347656488
77880.0	1.4072666566
77940.0	1.5830469807
78000.0	1.5053330842
78060.0	1.7240564055
78120.0	1.6829765324
78180.0	1.9218885358
78240.0	1.6439555262
78300.0	1.9123739217
78360.0	1.6913107746
78420.0	1.8614699591
78480.0	1.9988365738
78540.0	1.7681141283
78600.0	1.7195098946
78660.0	1.6360695466
78720.0	1.9045545555
78780.0	1.8126695653
78840.0	1.7484570078
78900.0	1.8139295567
78960.0	2.1137746681
79020.0	2.1117783311
79080.0	2.0155290361
79140.0	2.1294841629
79200.0	1.9941082959
79260.0	2.2461684216
79320.0	2.1628728341
79380.0	2.3954717476
79440.0	2.4373107658
79500.0	2.5774085833
79560.0	2.2281485055
79620.0	2.687739585
79680.0	2.8422928252
79740.0	3.1174418095
79800.0	3.0883516811
79860.0	3.011032641
79920.0	3.0525744073
79980.0	3.1363829705
80040.0	2.8486829424
80100.0	2.6478123184
80160.0	2.409187913
80220.0	2.112457997
80280.0	2.6267163611
80340.0	2.1998683955
80400.0	2.3565883829
80460.0	2.2074137643
80520.0	2.1107611002
80580.0	2.2094756129
80640.0	2.2027838193
80700.0	2.3642950179
80760.0	2.4410045024
80820.0	2.2060642097
80880.0	2.2616225731
80940.0	2.3717453901
81000.0	2.3880784433
81060.0	2.0922872248
81120.0	2.5157236424
81180.0	2.3839644333
81240.0	2.5092495925
81300.0	2.4236215093
81360.0	2.5227731663
81420.0	2.1803071243
81480.0	1.8831204294
81540.0	2.0528290866
81600.0	2.3326427309
81660.0	2.1076423802
81720.0	2.2358750688
81780.0	2.1324010566
81840.0	2.4075834297
81900.0	2.0879433947
81960.0	2.2657093362
82020.0	2.1085314716
82080.0	2.1974142837
82140.0	2.029726138
82200.0	2.0055571213
82260.0	1.9066316986
82320.0	1.8105201341
82380.0	1.9200132303
82440.0	2.0431523926
82500.0	1.8769660342
82560.0	2.0345680998
82620.0	2.0380568365
82680.0	2.1620409086
82740.0	1.955120853
82800.0	2.0271952446
82860.0	1.7438935857
82920.0	2.2888762162
82980.0	2.2078933443
83040.0	2.2161040355
83100.0	2.0964007842
83160.0	2.3327909585
83220.0	2.4665116931
83280.0	1.953210605
83340.0	2.3015132887
83400.0	2.3465069355
83460.0	2.3794684435
83520.0	2.4489769328
